Repository,URL
ansible/ansible-backstage-plugins,https://github.com/ansible/ansible-backstage-plugins
ansible/tox-ansible,https://github.com/ansible/tox-ansible
ansible/test-playbooks,https://github.com/ansible/test-playbooks
ansible/pytest-ansible,https://github.com/ansible/pytest-ansible
ansible/actions,https://github.com/ansible/actions
ansible/ansible-chatbot-service,https://github.com/ansible/ansible-chatbot-service
ansible/receptor,https://github.com/ansible/receptor
ansible/aap-docs,https://github.com/ansible/aap-docs
ansible/ansible.platform,https://github.com/ansible/ansible.platform
ansible/mkdocs-ansible,https://github.com/ansible/mkdocs-ansible
ansible/molecule,https://github.com/ansible/molecule
ansible/ansible-compat,https://github.com/ansible/ansible-compat
ansible/ansible-creator,https://github.com/ansible/ansible-creator
ansible/ansible-dev-tools,https://github.com/ansible/ansible-dev-tools
ansible/aap-dev,https://github.com/ansible/aap-dev
ansible/ansible,https://github.com/ansible/ansible
ansible/product-demos,https://github.com/ansible/product-demos
ansible/ansible-chatbot-stack,https://github.com/ansible/ansible-chatbot-stack
ansible/ansible-mcp-tools,https://github.com/ansible/ansible-mcp-tools
ansible/ansible-documentation,https://github.com/ansible/ansible-documentation
ansible/ansible-ai-connect-service,https://github.com/ansible/ansible-ai-connect-service
ansible/eda-server,https://github.com/ansible/eda-server
ansible/tower,https://github.com/ansible/tower
ansible/awx,https://github.com/ansible/awx
ansible/ansible-rulebook,https://github.com/ansible/ansible-rulebook
ansible/django-ansible-base,https://github.com/ansible/django-ansible-base
ansible/awx-plugins,https://github.com/ansible/awx-plugins
ansible/aap-containerized-installer,https://github.com/ansible/aap-containerized-installer
ansible/team-devtools,https://github.com/ansible/team-devtools
ansible/ansible-hub-ui,https://github.com/ansible/ansible-hub-ui
ansible/metrics-utility,https://github.com/ansible/metrics-utility
ansible/metrics-service,https://github.com/ansible/metrics-service
ansible/vscode-ansible,https://github.com/ansible/vscode-ansible
ansible/ansible-ai-connect-operator,https://github.com/ansible/ansible-ai-connect-operator
ansible/ansible-sign,https://github.com/ansible/ansible-sign
ansible/ansible-dev-environment,https://github.com/ansible/ansible-dev-environment
ansible/ansible-navigator,https://github.com/ansible/ansible-navigator
ansible/ansible-lint,https://github.com/ansible/ansible-lint
ansible/pylibssh,https://github.com/ansible/pylibssh
ansible/automation-platform-collection,https://github.com/ansible/automation-platform-collection
ansible/eda-server-operator,https://github.com/ansible/eda-server-operator
ansible/ansible-core-test-container,https://github.com/ansible/ansible-core-test-container
ansible/default-test-container,https://github.com/ansible/default-test-container
ansible/base-test-container,https://github.com/ansible/base-test-container
ansible/galaxy-importer,https://github.com/ansible/galaxy-importer
ansible/aap-mcp-server,https://github.com/ansible/aap-mcp-server
ansible/azure-aap-deployment-driver,https://github.com/ansible/azure-aap-deployment-driver
ansible/zuul-config,https://github.com/ansible/zuul-config
ansible/ansible-runner,https://github.com/ansible/ansible-runner
ansible/distro-test-containers,https://github.com/ansible/distro-test-containers
ansible/tower-override,https://github.com/ansible/tower-override
ansible/automation-platform-setup,https://github.com/ansible/automation-platform-setup
ansible/workshops,https://github.com/ansible/workshops
ansible/ansible-content-actions,https://github.com/ansible/ansible-content-actions
ansible/awx-operator,https://github.com/ansible/awx-operator
ansible/galaxy-operator,https://github.com/ansible/galaxy-operator
ansible/slides,https://github.com/ansible/slides
ansible/cloud-content-ci-automation,https://github.com/ansible/cloud-content-ci-automation
ansible/automation-reports,https://github.com/ansible/automation-reports
ansible/galaxy_collection,https://github.com/ansible/galaxy_collection
ansible/event-driven-ansible,https://github.com/ansible/event-driven-ansible
ansible/aap-detect-direct-component-access,https://github.com/ansible/aap-detect-direct-component-access
ansible/aap-upstream-ci-infra,https://github.com/ansible/aap-upstream-ci-infra
ansible/aap-notifications-feed-content,https://github.com/ansible/aap-notifications-feed-content
ansible/ansible-builder,https://github.com/ansible/ansible-builder
ansible/ansible-rhdh-templates,https://github.com/ansible/ansible-rhdh-templates
ansible/terraform-provider-aap,https://github.com/ansible/terraform-provider-aap
ansible/galaxy_ng,https://github.com/ansible/galaxy_ng
ansible/gh-action-record-test-results,https://github.com/ansible/gh-action-record-test-results
ansible/terraform-provider-ansible,https://github.com/ansible/terraform-provider-ansible
ansible/ansibotmini,https://github.com/ansible/ansibotmini
ansible/logos,https://github.com/ansible/logos
ansible/ansible-risk-insight,https://github.com/ansible/ansible-risk-insight
